id,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
45.00,0.00,6.70,0.23,0.26,1.40,0.06,33.00,154.00,0.99,3.24,0.56,9.50,6.00
46.00,0.00,7.40,0.18,0.31,1.40,0.06,38.00,167.00,0.99,3.16,0.53,10.00,7.00
47.00,0.00,6.20,0.45,0.26,4.40,0.06,63.00,206.00,0.99,3.27,0.52,9.80,4.00
48.00,0.00,6.20,0.46,0.25,4.40,0.07,62.00,207.00,0.99,3.25,0.52,9.80,5.00
49.00,0.00,7.00,0.31,0.26,7.40,0.07,28.00,160.00,1.00,3.13,0.46,9.80,6.00
50.00,0.00,6.90,0.19,0.35,5.00,0.07,32.00,150.00,1.00,3.36,0.48,9.80,5.00
51.00,0.00,7.20,0.19,0.31,1.60,0.06,31.00,173.00,0.99,3.35,0.44,11.70,6.00
52.00,0.00,6.60,0.25,0.29,1.10,0.07,39.00,124.00,0.99,3.34,0.58,11.00,7.00
53.00,0.00,6.20,0.16,0.33,1.10,0.06,21.00,82.00,0.99,3.32,0.46,10.90,7.00
54.00,0.00,6.40,0.18,0.35,1.00,0.05,39.00,108.00,0.99,3.31,0.35,10.90,6.00
55.00,0.00,6.80,0.20,0.59,0.90,0.15,38.00,132.00,0.99,3.05,0.38,9.10,6.00
56.00,0.00,6.90,0.25,0.35,1.30,0.04,29.00,191.00,0.99,3.13,0.52,11.00,6.00
57.00,0.00,7.20,0.21,0.34,11.90,0.04,37.00,213.00,1.00,3.09,0.50,9.60,6.00
58.00,0.00,6.00,0.19,0.26,12.40,0.05,50.00,147.00,1.00,3.30,0.36,8.90,6.00
59.00,0.00,6.60,0.38,0.15,4.60,0.04,25.00,78.00,0.99,3.11,0.38,10.20,6.00
60.00,0.00,7.40,0.20,0.36,1.20,0.04,44.00,111.00,0.99,3.36,0.34,9.90,6.00
61.00,0.00,6.80,0.22,0.24,4.90,0.09,30.00,123.00,1.00,3.03,0.46,8.60,6.00
62.00,0.00,6.00,0.19,0.26,12.40,0.05,50.00,147.00,1.00,3.30,0.36,8.90,6.00
63.00,0.00,7.00,0.47,0.07,1.10,0.04,17.00,151.00,0.99,3.02,0.34,10.50,5.00
64.00,0.00,6.60,0.38,0.15,4.60,0.04,25.00,78.00,0.99,3.11,0.38,10.20,6.00
65.00,0.00,7.20,0.24,0.27,1.40,0.04,31.00,122.00,0.99,3.15,0.46,10.30,6.00
66.00,0.00,6.20,0.35,0.03,1.20,0.06,29.00,120.00,0.99,3.22,0.54,9.10,5.00
67.00,0.00,6.40,0.26,0.24,6.40,0.04,27.00,124.00,0.99,3.22,0.49,12.60,7.00
68.00,0.00,6.70,0.25,0.13,1.20,0.04,81.00,174.00,0.99,3.14,0.42,9.80,5.00
69.00,0.00,6.70,0.23,0.31,2.10,0.05,30.00,96.00,0.99,3.33,0.64,10.70,8.00
70.00,0.00,7.40,0.24,0.29,10.10,0.05,21.00,105.00,1.00,3.13,0.35,9.50,5.00
71.00,0.00,6.20,0.27,0.43,7.80,0.06,48.00,244.00,1.00,3.10,0.51,9.00,6.00
72.00,0.00,6.80,0.30,0.23,4.60,0.06,50.50,238.50,1.00,3.32,0.60,9.50,5.00
73.00,0.00,6.00,0.27,0.28,4.80,0.06,31.00,201.00,1.00,3.69,0.71,10.00,5.00
74.00,0.00,8.60,0.23,0.46,1.00,0.05,9.00,72.00,0.99,2.95,0.49,9.10,6.00
75.00,0.00,6.70,0.23,0.31,2.10,0.05,30.00,96.00,0.99,3.33,0.64,10.70,8.00
76.00,0.00,7.40,0.24,0.29,10.10,0.05,21.00,105.00,1.00,3.13,0.35,9.50,5.00
77.00,0.00,7.10,0.18,0.36,1.40,0.04,31.00,87.00,0.99,3.26,0.37,12.70,7.00
78.00,0.00,7.00,0.32,0.34,1.30,0.04,20.00,69.00,0.99,3.31,0.65,12.00,7.00
79.00,0.00,7.40,0.18,0.30,8.80,0.06,26.00,103.00,1.00,2.94,0.56,9.30,5.00
80.00,0.00,6.70,0.54,0.28,5.40,0.06,21.00,105.00,0.99,3.27,0.37,9.00,5.00
81.00,0.00,6.80,0.22,0.31,1.40,0.05,34.00,114.00,0.99,3.39,0.77,10.60,6.00
82.00,0.00,7.10,0.20,0.34,16.00,0.05,51.00,166.00,1.00,3.21,0.60,9.20,6.00
83.00,0.00,7.10,0.34,0.20,6.10,0.06,47.00,164.00,0.99,3.17,0.42,10.00,5.00
84.00,0.00,7.30,0.22,0.30,8.20,0.05,42.00,207.00,1.00,3.33,0.46,9.50,6.00
85.00,0.00,7.10,0.43,0.61,11.80,0.05,54.00,155.00,1.00,3.11,0.45,8.70,5.00
86.00,0.00,7.10,0.44,0.62,11.80,0.04,52.00,152.00,1.00,3.12,0.46,8.70,6.00
87.00,0.00,7.20,0.39,0.63,11.00,0.04,55.00,156.00,1.00,3.09,0.44,8.70,6.00
88.00,0.00,6.80,0.25,0.31,13.30,0.05,69.00,202.00,1.00,3.22,0.48,9.70,6.00
89.00,0.00,7.10,0.43,0.61,11.80,0.05,54.00,155.00,1.00,3.11,0.45,8.70,5.00
90.00,0.00,7.10,0.44,0.62,11.80,0.04,52.00,152.00,1.00,3.12,0.46,8.70,6.00
91.00,0.00,7.20,0.39,0.63,11.00,0.04,55.00,156.00,1.00,3.09,0.44,8.70,6.00
92.00,0.00,6.10,0.27,0.43,7.50,0.05,65.00,243.00,1.00,3.12,0.47,9.00,5.00
93.00,0.00,6.90,0.24,0.33,1.70,0.04,47.00,136.00,0.99,3.26,0.40,12.60,7.00
94.00,0.00,6.90,0.21,0.33,1.80,0.03,48.00,136.00,0.99,3.25,0.41,12.60,7.00
95.00,0.00,7.50,0.17,0.32,1.70,0.04,51.00,148.00,0.99,3.21,0.44,11.50,7.00
96.00,0.00,7.10,0.26,0.29,12.40,0.04,62.00,240.00,1.00,3.04,0.42,9.20,6.00
97.00,0.00,6.00,0.34,0.66,15.90,0.05,26.00,164.00,1.00,3.14,0.50,8.80,6.00
98.00,0.00,8.60,0.27,0.36,1.20,0.03,15.00,80.00,0.99,2.95,0.36,11.40,7.00
99.00,0.00,9.80,0.36,0.46,10.50,0.04,4.00,83.00,1.00,2.89,0.30,10.10,4.00
100.00,0.00,6.00,0.34,0.66,15.90,0.05,26.00,164.00,1.00,3.14,0.50,8.80,6.00
101.00,0.00,7.40,0.25,0.37,13.50,0.06,52.00,192.00,1.00,3.00,0.44,9.10,5.00
102.00,0.00,7.10,0.12,0.32,9.60,0.05,64.00,162.00,1.00,3.40,0.41,9.40,5.00
103.00,0.00,6.00,0.21,0.24,12.10,0.05,55.00,164.00,1.00,3.34,0.39,9.40,5.00
104.00,0.00,7.50,0.31,0.40,18.90,0.06,44.00,170.00,1.00,2.99,0.46,9.00,5.00
105.00,0.00,7.40,0.25,0.37,13.50,0.06,52.00,192.00,1.00,3.00,0.44,9.10,5.00
106.00,0.00,7.30,0.13,0.32,14.40,0.05,34.00,109.00,1.00,3.20,0.35,9.20,6.00
107.00,0.00,7.10,0.12,0.32,9.60,0.05,64.00,162.00,1.00,3.40,0.41,9.40,5.00
108.00,0.00,7.10,0.23,0.35,16.50,0.04,60.00,171.00,1.00,3.16,0.59,9.10,6.00
109.00,0.00,7.10,0.23,0.35,16.50,0.04,60.00,171.00,1.00,3.16,0.59,9.10,6.00
110.00,0.00,6.90,0.33,0.28,1.30,0.05,37.00,187.00,0.99,3.27,0.60,10.30,5.00
111.00,0.00,6.50,0.17,0.54,8.50,0.08,64.00,163.00,1.00,2.89,0.39,8.80,6.00
112.00,0.00,7.20,0.27,0.46,18.75,0.05,45.00,255.00,1.00,3.04,0.52,8.90,5.00
113.00,0.00,7.20,0.31,0.50,13.30,0.06,68.00,195.00,1.00,3.01,0.47,9.20,5.00
114.00,0.00,6.70,0.41,0.34,9.20,0.05,29.00,150.00,1.00,3.22,0.51,9.10,5.00
115.00,0.00,6.70,0.41,0.34,9.20,0.05,29.00,150.00,1.00,3.22,0.51,9.10,5.00
116.00,0.00,5.50,0.49,0.00,1.50,0.07,8.00,103.00,0.99,3.63,0.40,9.70,4.00
117.00,0.00,6.00,0.31,0.24,3.30,0.04,25.00,143.00,0.99,3.31,0.44,11.30,6.00
118.00,0.00,7.00,0.14,0.40,1.70,0.04,16.00,85.00,0.99,3.19,0.42,11.80,6.00
119.00,0.00,7.20,0.31,0.50,13.30,0.06,68.00,195.00,1.00,3.01,0.47,9.20,5.00
120.00,0.00,7.30,0.32,0.48,13.30,0.06,57.00,196.00,1.00,3.04,0.50,9.20,5.00
121.00,0.00,5.90,0.36,0.04,5.70,0.05,21.00,87.00,0.99,3.22,0.51,10.20,5.00
122.00,0.00,7.80,0.24,0.32,12.20,0.05,42.00,138.00,1.00,3.01,0.54,8.80,5.00
123.00,0.00,7.40,0.16,0.31,6.85,0.06,31.00,131.00,1.00,3.29,0.34,9.70,5.00
124.00,0.00,6.90,0.19,0.28,5.00,0.06,14.00,146.00,1.00,3.29,0.36,9.10,6.00
125.00,0.00,6.40,0.13,0.47,1.60,0.09,40.00,158.00,0.99,3.21,0.36,9.80,6.00
126.00,0.00,6.70,0.19,0.36,1.10,0.03,63.00,143.00,0.99,3.27,0.48,11.00,6.00
127.00,0.00,7.40,0.39,0.23,7.00,0.03,29.00,126.00,0.99,3.14,0.42,10.50,5.00
128.00,0.00,6.50,0.24,0.32,7.60,0.04,48.00,203.00,1.00,3.45,0.54,9.70,7.00
129.00,0.00,6.10,0.30,0.56,2.80,0.04,47.00,179.00,0.99,3.30,0.57,10.90,7.00
130.00,0.00,6.10,0.30,0.56,2.70,0.05,46.00,184.00,0.99,3.31,0.57,10.90,6.00
131.00,0.00,5.70,0.26,0.25,10.40,0.02,7.00,57.00,0.99,3.39,0.37,10.60,5.00
132.00,0.00,6.50,0.24,0.32,7.60,0.04,48.00,203.00,1.00,3.45,0.54,9.70,7.00
133.00,0.00,6.50,0.43,0.40,13.10,0.04,59.00,241.00,1.00,3.23,0.57,9.00,5.00
134.00,0.00,6.60,0.24,0.27,15.80,0.04,46.00,188.00,1.00,3.24,0.51,9.20,5.00
135.00,0.00,6.80,0.27,0.22,8.10,0.03,55.00,203.00,1.00,3.19,0.52,8.90,5.00
136.00,0.00,6.70,0.27,0.31,15.70,0.04,44.00,179.00,1.00,3.26,0.56,9.60,5.00
137.00,0.00,8.20,0.23,0.40,1.20,0.03,36.00,121.00,0.99,3.12,0.38,10.70,6.00
138.00,0.00,7.10,0.37,0.67,10.50,0.05,49.00,155.00,1.00,3.16,0.44,8.70,5.00
139.00,0.00,6.80,0.19,0.36,1.90,0.04,30.00,96.00,0.99,3.15,0.54,10.80,7.00
140.00,0.00,8.10,0.28,0.39,1.90,0.03,18.00,79.00,0.99,3.23,0.52,11.80,6.00
141.00,0.00,6.30,0.31,0.34,2.20,0.05,20.00,77.00,0.99,3.30,0.43,10.20,5.00
142.00,0.00,7.10,0.37,0.67,10.50,0.05,49.00,155.00,1.00,3.16,0.44,8.70,5.00
143.00,0.00,7.90,0.21,0.40,1.20,0.04,38.00,107.00,0.99,3.21,0.54,10.80,6.00
144.00,0.00,8.50,0.21,0.41,4.30,0.04,24.00,99.00,0.99,3.18,0.53,9.70,6.00
145.00,0.00,8.10,0.20,0.40,2.00,0.04,19.00,87.00,0.99,3.12,0.54,11.20,6.00
146.00,0.00,6.30,0.26,0.37,1.10,0.04,37.00,114.00,0.99,3.00,0.39,10.90,6.00
147.00,0.00,5.60,0.16,0.27,1.40,0.04,53.00,168.00,0.99,3.28,0.37,10.10,6.00
148.00,0.00,6.40,0.60,0.14,5.20,0.06,15.00,97.00,1.00,3.38,0.36,9.00,4.00
149.00,0.00,6.30,0.34,0.33,4.60,0.03,19.00,80.00,0.99,3.38,0.58,12.00,7.00
150.00,0.00,6.90,0.25,0.30,4.10,0.05,23.00,116.00,0.99,2.99,0.38,9.40,6.00
151.00,0.00,7.90,0.22,0.38,8.00,0.04,46.00,152.00,0.99,3.12,0.32,11.50,7.00
152.00,0.00,7.60,0.18,0.46,10.20,0.06,58.00,135.00,1.00,3.14,0.43,9.90,6.00
153.00,0.00,6.90,0.25,0.30,4.10,0.05,23.00,116.00,0.99,2.99,0.38,9.40,6.00
154.00,0.00,7.20,0.18,0.41,1.20,0.05,41.00,97.00,0.99,3.14,0.45,10.40,5.00
155.00,0.00,8.20,0.23,0.40,7.50,0.05,12.00,76.00,1.00,3.06,0.84,9.70,6.00
156.00,0.00,7.40,0.24,0.42,14.00,0.07,48.00,198.00,1.00,2.89,0.42,8.90,6.00
157.00,0.00,7.40,0.24,0.42,14.00,0.07,48.00,198.00,1.00,2.89,0.42,8.90,6.00
158.00,0.00,6.10,0.32,0.24,1.50,0.04,38.00,124.00,0.99,3.29,0.42,12.40,7.00
159.00,0.00,5.20,0.44,0.04,1.40,0.04,43.00,119.00,0.99,3.36,0.33,12.10,8.00
160.00,0.00,5.20,0.44,0.04,1.40,0.04,43.00,119.00,0.99,3.36,0.33,12.10,8.00
161.00,0.00,6.10,0.32,0.24,1.50,0.04,38.00,124.00,0.99,3.29,0.42,12.40,7.00
162.00,0.00,6.40,0.22,0.56,14.50,0.06,27.00,159.00,1.00,2.98,0.40,9.10,5.00
163.00,0.00,6.30,0.36,0.30,4.80,0.05,14.00,85.00,0.99,3.28,0.39,10.60,5.00
164.00,0.00,7.40,0.24,0.42,14.00,0.07,48.00,198.00,1.00,2.89,0.42,8.90,6.00
165.00,0.00,6.70,0.24,0.35,13.10,0.05,64.00,205.00,1.00,3.15,0.50,9.50,5.00
166.00,0.00,7.00,0.23,0.36,13.00,0.05,72.00,177.00,1.00,3.16,0.49,9.80,5.00
167.00,0.00,8.40,0.27,0.46,8.70,0.05,39.00,197.00,1.00,3.14,0.59,9.60,6.00
168.00,0.00,6.70,0.46,0.18,2.40,0.03,25.00,98.00,0.99,3.08,0.44,12.60,7.00
169.00,0.00,7.50,0.29,0.31,8.95,0.06,20.00,151.00,1.00,3.08,0.54,9.30,5.00
170.00,0.00,9.80,0.42,0.48,9.85,0.03,5.00,110.00,1.00,2.87,0.29,10.00,5.00
171.00,0.00,7.10,0.30,0.46,1.50,0.07,29.00,133.00,0.99,3.12,0.54,12.70,6.00
172.00,0.00,7.90,0.19,0.45,1.50,0.05,17.00,96.00,0.99,3.13,0.39,11.00,6.00
173.00,0.00,7.60,0.48,0.37,0.80,0.04,4.00,100.00,0.99,3.03,0.39,11.40,4.00
174.00,0.00,6.30,0.22,0.43,4.55,0.04,31.00,130.00,0.99,3.35,0.33,11.50,7.00
175.00,0.00,7.50,0.27,0.31,17.70,0.05,33.00,173.00,1.00,3.09,0.64,10.20,5.00
176.00,0.00,6.90,0.23,0.40,7.50,0.04,50.00,151.00,0.99,3.11,0.27,11.40,6.00
177.00,0.00,7.20,0.32,0.47,5.10,0.04,19.00,65.00,0.99,3.03,0.41,12.60,4.00
178.00,0.00,5.90,0.23,0.30,12.90,0.05,57.00,170.00,1.00,3.28,0.39,9.40,5.00
179.00,0.00,6.00,0.67,0.07,1.20,0.06,9.00,108.00,0.99,3.11,0.35,8.70,4.00
180.00,0.00,6.40,0.25,0.32,5.50,0.05,41.00,176.00,1.00,3.19,0.68,9.20,6.00
181.00,0.00,6.40,0.33,0.31,5.50,0.05,42.00,173.00,1.00,3.19,0.66,9.30,6.00
182.00,0.00,7.10,0.34,0.15,1.20,0.05,61.00,183.00,0.99,3.09,0.43,9.20,5.00
183.00,0.00,6.80,0.28,0.40,22.00,0.05,48.00,167.00,1.00,2.93,0.50,8.70,5.00
184.00,0.00,6.90,0.27,0.40,14.00,0.05,64.00,227.00,1.00,3.18,0.58,9.60,6.00
185.00,0.00,6.80,0.26,0.56,11.90,0.04,64.00,226.00,1.00,3.02,0.63,9.30,5.00
186.00,0.00,6.80,0.29,0.56,11.90,0.04,66.00,230.00,1.00,3.02,0.63,9.30,5.00
187.00,0.00,6.70,0.24,0.41,9.40,0.04,49.00,166.00,1.00,3.12,0.61,9.90,6.00
188.00,0.00,5.90,0.30,0.23,4.20,0.04,42.00,119.00,0.99,3.15,0.50,11.00,5.00
189.00,0.00,6.80,0.53,0.35,3.80,0.03,26.00,109.00,0.99,3.26,0.57,12.70,8.00
190.00,0.00,6.50,0.28,0.28,8.50,0.05,54.00,210.00,1.00,3.09,0.54,8.90,4.00
191.00,0.00,6.60,0.28,0.28,8.50,0.05,55.00,211.00,1.00,3.09,0.55,8.90,6.00
192.00,0.00,6.80,0.28,0.40,22.00,0.05,48.00,167.00,1.00,2.93,0.50,8.70,5.00
193.00,0.00,6.80,0.28,0.36,8.00,0.05,28.00,123.00,0.99,3.02,0.37,11.40,6.00
194.00,0.00,6.60,0.15,0.34,5.10,0.06,34.00,125.00,0.99,3.36,0.42,9.60,5.00
195.00,0.00,6.40,0.29,0.44,3.60,0.20,75.00,181.00,0.99,3.02,0.41,9.10,5.00
196.00,0.00,6.40,0.30,0.45,3.50,0.20,76.00,180.00,0.99,3.02,0.39,9.10,6.00
197.00,0.00,6.40,0.29,0.44,3.60,0.20,75.00,183.00,0.99,3.01,0.38,9.10,5.00
198.00,0.00,6.80,0.26,0.24,7.80,0.05,54.00,214.00,1.00,3.13,0.47,8.90,5.00
199.00,0.00,7.10,0.32,0.24,13.10,0.05,52.00,204.00,1.00,3.10,0.49,8.80,5.00
200.00,0.00,6.80,0.26,0.24,7.80,0.05,54.00,214.00,1.00,3.13,0.47,8.90,5.00
201.00,0.00,6.80,0.27,0.26,16.10,0.05,55.00,196.00,1.00,3.15,0.50,9.30,5.00
202.00,0.00,7.10,0.32,0.24,13.10,0.05,52.00,204.00,1.00,3.10,0.49,8.80,5.00
203.00,0.00,6.90,0.54,0.32,13.20,0.05,53.00,236.00,1.00,3.20,0.50,9.60,5.00
204.00,0.00,6.80,0.26,0.34,13.90,0.03,39.00,134.00,0.99,3.33,0.53,12.00,6.00
205.00,0.00,5.80,0.28,0.35,2.30,0.05,36.00,114.00,0.99,3.28,0.50,10.20,4.00
206.00,0.00,6.40,0.21,0.50,11.60,0.04,45.00,153.00,1.00,3.15,0.43,8.80,5.00
207.00,0.00,7.00,0.16,0.32,8.30,0.05,38.00,126.00,1.00,3.21,0.34,9.20,5.00
208.00,0.00,10.20,0.44,0.88,6.20,0.05,20.00,124.00,1.00,2.99,0.51,9.90,4.00
209.00,0.00,6.80,0.57,0.29,2.20,0.04,15.00,77.00,0.99,3.32,0.74,10.20,5.00
210.00,0.00,6.10,0.40,0.31,0.90,0.05,23.00,170.00,0.99,3.22,0.77,9.50,6.00
211.00,0.00,5.60,0.25,0.25,9.70,0.03,12.00,68.00,0.99,3.31,0.34,10.50,5.00
212.00,0.00,6.80,0.18,0.38,1.40,0.04,35.00,111.00,0.99,3.32,0.59,11.20,7.00
213.00,0.00,7.00,0.16,0.32,8.30,0.05,38.00,126.00,1.00,3.21,0.34,9.20,5.00
214.00,0.00,6.70,0.13,0.29,5.30,0.05,31.00,122.00,0.99,3.44,0.37,9.70,6.00
215.00,0.00,6.20,0.25,0.25,1.40,0.03,35.00,105.00,0.99,3.30,0.44,11.10,7.00
216.00,0.00,5.80,0.26,0.24,9.20,0.04,55.00,152.00,1.00,3.31,0.38,9.40,5.00
217.00,0.00,7.50,0.27,0.36,7.00,0.04,45.00,164.00,0.99,3.03,0.33,11.00,5.00
218.00,0.00,5.80,0.26,0.24,9.20,0.04,55.00,152.00,1.00,3.31,0.38,9.40,5.00
219.00,0.00,5.70,0.28,0.24,17.50,0.04,60.00,167.00,1.00,3.31,0.44,9.40,5.00
220.00,0.00,7.50,0.23,0.36,7.00,0.04,43.00,161.00,0.99,3.04,0.32,11.00,5.00
221.00,0.00,7.50,0.27,0.36,7.00,0.04,45.00,164.00,0.99,3.03,0.33,11.00,5.00
222.00,0.00,7.20,0.69,0.21,9.50,0.07,33.00,172.00,1.00,3.00,0.55,9.10,6.00
223.00,0.00,6.20,0.25,0.25,1.40,0.03,35.00,105.00,0.99,3.30,0.44,11.10,7.00
224.00,0.00,6.50,0.19,0.30,0.80,0.04,33.00,144.00,0.99,3.42,0.39,9.10,6.00
225.00,0.00,6.30,0.50,0.22,1.80,0.05,31.00,140.00,0.99,3.39,0.54,10.40,6.00
226.00,0.00,7.10,0.24,0.41,17.80,0.05,39.00,145.00,1.00,3.32,0.39,8.70,5.00
227.00,0.00,6.40,0.17,0.32,2.40,0.05,41.00,200.00,0.99,3.50,0.50,9.70,6.00
228.00,0.00,7.10,0.25,0.32,10.30,0.04,66.00,272.00,1.00,3.17,0.52,9.10,6.00
229.00,0.00,6.40,0.17,0.32,2.40,0.05,41.00,200.00,0.99,3.50,0.50,9.70,6.00
230.00,0.00,7.10,0.24,0.41,17.80,0.05,39.00,145.00,1.00,3.32,0.39,8.70,5.00
231.00,0.00,6.80,0.64,0.08,9.70,0.06,26.00,142.00,1.00,3.37,0.46,8.90,4.00
232.00,0.00,8.30,0.28,0.40,7.80,0.04,38.00,194.00,1.00,3.34,0.51,9.60,6.00
233.00,0.00,8.20,0.27,0.39,7.80,0.04,49.00,208.00,1.00,3.31,0.51,9.50,6.00
234.00,0.00,7.20,0.23,0.38,14.30,0.06,55.00,194.00,1.00,3.09,0.44,9.00,6.00
235.00,0.00,7.20,0.23,0.38,14.30,0.06,55.00,194.00,1.00,3.09,0.44,9.00,6.00
236.00,0.00,7.20,0.23,0.38,14.30,0.06,55.00,194.00,1.00,3.09,0.44,9.00,6.00
237.00,0.00,7.20,0.23,0.38,14.30,0.06,55.00,194.00,1.00,3.09,0.44,9.00,6.00
238.00,0.00,6.80,0.52,0.32,13.20,0.04,54.00,221.00,1.00,3.27,0.50,9.60,6.00
239.00,0.00,7.00,0.26,0.59,1.40,0.04,40.00,120.00,0.99,3.34,0.41,11.10,7.00
240.00,0.00,6.20,0.25,0.21,15.55,0.04,28.00,159.00,1.00,3.48,0.64,9.60,6.00
241.00,0.00,7.30,0.32,0.23,13.70,0.05,49.00,197.00,1.00,3.20,0.46,8.70,5.00
242.00,0.00,7.70,0.31,0.26,7.80,0.03,23.00,90.00,0.99,3.13,0.50,10.40,5.00
243.00,0.00,7.10,0.21,0.37,2.40,0.03,23.00,100.00,0.99,3.15,0.38,11.40,7.00
244.00,0.00,6.80,0.24,0.34,2.70,0.05,64.50,218.50,0.99,3.30,0.58,9.70,6.00
245.00,0.00,6.90,0.40,0.56,11.20,0.04,40.00,142.00,1.00,3.14,0.46,8.70,5.00
246.00,0.00,6.10,0.18,0.36,2.00,0.04,20.00,249.50,0.99,3.37,0.79,11.30,6.00
247.00,0.00,6.80,0.21,0.27,2.10,0.03,26.00,139.00,0.99,3.16,0.61,12.60,7.00
